문서,섹션,항목,내용
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","현재 안전조치","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","가능성","2"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","중대성","4"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","위험등급","medium"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","추가 감소대책","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","조치담당자","작업반장"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","조치기한","현장 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인방법","작업 전 체크리스트 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인상태","needsReview"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인일","현장 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인자","작업반장"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","가능성 판단근거","작업 전 노출 빈도와 현장 통제 상태를 함께 반영"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","중대성 판단근거","추락·충돌·화재 등 중대재해 가능성을 보수적으로 반영"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","근거","riskAssessmentDraft | tbmBriefing"
