문서,섹션,항목,내용
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","가능성","2"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","중대성","4"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","위험등급","medium"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","추가 감소대책","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","조치담당자","작업반장"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","조치기한","현장 확인"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인방법","작업 전 체크리스트 확인"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인상태","needsReview"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인일","현장 확인"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","확인자","작업반장"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","가능성 판단근거","작업 전 노출 빈도와 현장 통제 상태를 함께 반영"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","중대성 판단근거","추락·충돌·화재 등 중대재해 가능성을 보수적으로 반영"
"위험성평가표","2. 강풍 시 비계 전도와 공구·자재 낙하","근거","riskAssessmentDraft | tbmBriefing"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","관리번호","RA-construction-painting-3"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","작업장소","서울 성수동 근린생활시설 현장"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","공정","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","세부작업","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","장비/도구","지게차, 랙, 팔레트, 신호장비"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","유해·위험요인","지게차 동선 인접 구간에서 작업자 충돌"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","4M","Machine"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","재해형태","struckBy"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","현재 안전조치","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","가능성","2"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","중대성","4"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","위험등급","medium"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","추가 감소대책","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","조치담당자","작업반장"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","조치기한","현장 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인방법","작업 전 체크리스트 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인상태","needsReview"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인일","현장 확인"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","확인자","작업반장"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","가능성 판단근거","작업 전 노출 빈도와 현장 통제 상태를 함께 반영"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","중대성 판단근거","추락·충돌·화재 등 중대재해 가능성을 보수적으로 반영"
"위험성평가표","3. 지게차 동선 인접 구간에서 작업자 충돌","근거","riskAssessmentDraft | tbmBriefing"
"작업계획서","기본정보","1","작업계획서(초안)"
"작업계획서","기본정보","현장 서식 기준","작업구간, 작업순서, 장비·인원, 허가·첨부, 확인자 중심"
"작업계획서","기본정보","공사명","서울 성수동 근린생활시설 현장"
"작업계획서","기본정보","작업구간","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"작업계획서","기본정보","작성자","관리감독자 / 작업반장"
"작업계획서","기본정보","확인자","현장소장 / 안전관리자"
"작업계획서","기본정보","작성일","작업 시작 전"
"작업계획서","1. 작업개요","- 작업명","외벽 도장 작업"
"작업계획서","1. 작업개요","- 작업내용","세이프건설 서울 성수동 근린생활시설 외벽 도장 작업"
"작업계획서","1. 작업개요","- 작업인원","5명"
"작업계획서","1. 작업개요","- 작업 전 조건확인","오후 강풍 예보, 작업중지 기준 공유 필요"
"작업계획서","2. 작업순서 및 안전조치","1","작업 전 작업구역 설정, 보호구 확인, 장비 상태 점검"
"작업계획서","2. 작업순서 및 안전조치","- 주요 작업 수행","이동식 비계 사용 외벽 도장, 자재 상하차, 하부 통제"
"작업계획서","2. 작업순서 및 안전조치","- 단계별 안전조치","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검 / 풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기 / 작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"작업계획서","2. 작업순서 및 안전조치","- 특수 조건 안전조치","신규 투입자 1명 포함 — 작업중지 기준과 보호구 착용을 별도 복창 확인"
"작업계획서","2. 작업순서 및 안전조치","- 특수 조건 안전조치","강풍 조건 — 작업중지 기준과 대피 위치를 작업 전 공유"
"작업계획서","2. 작업순서 및 안전조치","2","작업 중 위험구역 출입통제와 작업중지 기준 수시 확인"
"작업계획서","2. 작업순서 및 안전조치","3","작업 종료 후 정리정돈, 잔여 위험요인 확인, 사진/기록 보관"
"작업계획서","3. 장비·인원·허가 확인","- 장비/도구","작업계획서 또는 안전작업허가서 첨부자료로 확인"
"작업계획서","3. 장비·인원·허가 확인","- 작업자","신규 투입자, 외국인 근로자, 협력업체 인원 별도 확인"
"작업계획서","3. 장비·인원·허가 확인","- 허가/첨부","고위험 작업은 안전작업허가서, 위험성평가표, TBM 기록을 함께 보관"
"작업계획서","4. 작업중지 기준","1","강풍 시 작업중지 판단은 누가 하고, 팀원에게 어떻게 전파할 것인가?"
"작업계획서","4. 작업중지 기준","2","이동식 비계 고정상태와 보호구 착용은 누가 상호 확인했는가?"
"작업계획서","4. 작업중지 기준","3","지게차 동선 접근금지 구역과 신호수 위치를 전원이 알고 있는가?"
"작업계획서","5. 확인 근거","1","위험성평가표, TBM 기록, 안전보건교육 기록, 사진/영상 증빙을 같은 문서팩으로 묶어 확인합니다."
"작업허가 및 안전점검표","기본정보","1","안전작업허가 확인서(초안)"
"작업허가 및 안전점검표","기본정보","2","현장 적용 전 관리감독자와 허가권자가 작업조건을 최종 확인합니다."
"작업허가 및 안전점검표","1. 허가 기본정보","- 현장명","서울 성수동 근린생활시설 현장"
"작업허가 및 안전점검표","1. 허가 기본정보","- 허가대상 작업","외벽 도장 작업"
"작업허가 및 안전점검표","1. 허가 기본정보","- 허가구분","고소작업"
"작업허가 및 안전점검표","1. 허가 기본정보","- 작업내용","세이프건설 서울 성수동 근린생활시설 외벽 도장 작업"
"작업허가 및 안전점검표","1. 허가 기본정보","- 작업인원","5명"
"작업허가 및 안전점검표","1. 허가 기본정보","- 작업시간","작업 시작 전 허가 시각부터 종료 확인 시각까지"
"작업허가 및 안전점검표","1. 허가 기본정보","- 허가상태","작업 전 조건 확인 및 허가권자 승인 필요"
"작업허가 및 안전점검표","2. 작업 전 허가조건","- 핵심 위험","강풍 상황에서 이동식 비계가 흔들리며 작업자가 추락하거나 비계가 전도될 위험"
"작업허가 및 안전점검표","2. 작업 전 허가조건","- 안전조치 1","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"작업허가 및 안전점검표","2. 작업 전 허가조건","- 안전조치 2","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"작업허가 및 안전점검표","2. 작업 전 허가조건","- 안전조치 3","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"작업허가 및 안전점검표","2. 작업 전 허가조건","- 허가 전 조건확인","오후 강풍 예보, 작업중지 기준 공유 필요"
"작업허가 및 안전점검표","2. 작업 전 허가조건","- 보호구","작업별 보호구의 종류, 손상 여부, 착용 상태를 작업 시작 전에 확인"
"작업허가 및 안전점검표","3. 격리·차단 및 첨부 확인","1","전원·화기·장비·차량 등 작업구역에 영향을 주는 에너지원의 차단 상태를 확인"
"작업허가 및 안전점검표","3. 격리·차단 및 첨부 확인","2","취급 물질이 있으면 SDS·GHS 경고표지와 보호구 적합성을 추가 확인"
"작업허가 및 안전점검표","3. 격리·차단 및 첨부 확인","3","위험성평가표, 작업계획서, TBM 기록을 같은 작업허가 묶음으로 확인"
"작업허가 및 안전점검표","3. 격리·차단 및 첨부 확인","4","출입통제, 감시자·신호수 배치, 비상연락 수단을 현장에서 확인"
"작업허가 및 안전점검표","4. 작업 중 확인","- 작업중지 기준","강풍 시 작업중지 판단은 누가 하고, 팀원에게 어떻게 전파할 것인가?"
"작업허가 및 안전점검표","4. 작업 중 확인","- 변경관리 확인","이동식 비계 고정상태와 보호구 착용은 누가 상호 확인했는가?"
"작업허가 및 안전점검표","4. 작업 중 확인","1","작업조건이나 작업자가 바뀌면 기존 허가를 그대로 사용하지 않고 재확인"
"작업허가 및 안전점검표","5. 종료 확인","1","작업 종료 후 공구·자재·폐기물을 정리하고 잔류 위험을 확인"
"작업허가 및 안전점검표","5. 종료 확인","2","격리·차단 해제와 재가동은 허가권자와 설비 담당자가 함께 확인"
"작업허가 및 안전점검표","5. 종료 확인","3","종료시간, 종료상태, 확인자, 특이사항을 기록한 뒤 허가를 닫음"
"작업허가 및 안전점검표","6. 확인자","- 작업책임자","작업 전 조건 확인"
"작업허가 및 안전점검표","6. 확인자","- 관리감독자","허가조건·보호구·격리 상태 확인"
"작업허가 및 안전점검표","6. 확인자","- 허가권자","작업 시작 승인 및 종료 확인"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","- 공유 전 보완","SIF 유사사례"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","- 공유 전 보완","위험성평가표 근거"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","- 공유 전 보완","TBM 브리핑 근거"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","1","작업 전 안전점검회의(TBM) 브리핑(초안)"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","공식자료 기반","KOSHA TBM OPS 및 고용노동부 TBM 교육시간 인정 안내 참고"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","일시","작업 시작 전"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","장소","서울 성수동 근린생활시설 현장"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","업체명","세이프건설"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","오늘 작업","외벽 도장 작업"
"TBM/작업 전 안전점검회의","오늘 개선·이력 반영 - TBM","참석 대상","작업자 5명, 작업반장, 관리감독자"
"TBM/작업 전 안전점검회의","1. 작업내용","1","세이프건설 서울 성수동 근린생활시설 외벽 도장 작업"
"TBM/작업 전 안전점검회의","1. 작업내용","- TBM 조건확인","오후 강풍 예보, 작업중지 기준 공유 필요"
"TBM/작업 전 안전점검회의","1. 작업내용","2","위험성평가 주요 유해·위험요인을 오늘 TBM 전달 항목으로 연결합니다."
"TBM/작업 전 안전점검회의","2. 위험요인","1","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"TBM/작업 전 안전점검회의","2. 위험요인","2","강풍 시 비계 전도와 공구·자재 낙하"
"TBM/작업 전 안전점검회의","2. 위험요인","3","지게차 동선 인접 구간에서 작업자 충돌"
"TBM/작업 전 안전점검회의","3. 안전대책","1","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"TBM/작업 전 안전점검회의","3. 안전대책","2","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"TBM/작업 전 안전점검회의","3. 안전대책","3","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"TBM/작업 전 안전점검회의","3. 안전대책","4","기상 API 또는 현장 기상 확인 결과가 악화되면 작업반장이 작업중지 여부를 재판단합니다."
"TBM/작업 전 안전점검회의","4. 작업중지 기준","1","강풍 시 작업중지 판단은 누가 하고, 팀원에게 어떻게 전파할 것인가?"
"TBM/작업 전 안전점검회의","4. 작업중지 기준","2","이동식 비계 고정상태와 보호구 착용은 누가 상호 확인했는가?"
"TBM/작업 전 안전점검회의","4. 작업중지 기준","3","위험구역 통제, 보호구 미착용, 기상 악화, 미숙련 작업자 이해 부족 시 작업을 시작하지 않습니다."
"TBM/작업 전 안전점검회의","5. 참석자 확인","1","작업자는 핵심 위험요인과 작업중지 기준을 구두 복창합니다."
"TBM/작업 전 안전점검회의","5. 참석자 확인","2","보호구 착용 상태와 위험구역 통제 상태를 상호 확인합니다."
"TBM/작업 전 안전점검회의","5. 참석자 확인","3","신규·외국인·미숙련 작업자는 쉬운 한국어 또는 통역/번역 메시지로 이해 여부를 추가 확인합니다."
"TBM/작업 전 안전점검회의","6. 사진·증빙 위치","1","작업 전 현장 상태, 보호구 착용, 위험구역 통제, TBM 실시 사진을 작업일지·모바일 앱·문서팩 첨부자료에 남깁니다."
"TBM/작업 전 안전점검회의","6. 사진·증빙 위치","2","참석자 서명, 구두 복창 확인, 신규/외국인 이해 확인 기록을 함께 보관합니다."
"TBM/작업 전 안전점검회의","7. 교육시간 인정 검토","1","위험성평가 결과, 교육 내용, 대상, 시간, 확인증빙이 함께 남는 경우에만 교육 증빙 활용 가능 여부를 검토합니다."
"TBM/작업 전 안전점검회의","7. 교육시간 인정 검토","2","TBM 자체가 법정교육을 자동 대체한다고 표현하지 않습니다."
"TBM/작업 전 안전점검회의","확인 질문","1","오늘 가장 큰 유해·위험요인과 작업중지 기준을 말할 수 있습니까?"
"TBM/작업 전 안전점검회의","확인 질문","2","기상 악화 또는 현장 변화가 생기면 누구에게 보고하고 어디서 대기합니까?"
"TBM/작업 전 안전점검회의","확인 질문","3","지게차 동선 접근금지 구역과 신호수 위치를 전원이 알고 있는가?"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","- 공유 전 보완","SIF 유사사례"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","- 공유 전 보완","위험성평가표 근거"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","- 공유 전 보완","TBM 브리핑 근거"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","1","작업 전 안전점검회의(TBM) 기록(초안)"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","공식자료 기반","작업일지·모바일 앱·사진·영상 등 다양한 기록 인정 취지 참고"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","일시","2026-04-25 08:00"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","업체명","세이프건설"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","작업장소","서울 성수동 근린생활시설 현장"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","작업내용","세이프건설 서울 성수동 근린생활시설 외벽 도장 작업"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","참석인원","5명"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","실시자","작업반장 / 관리감독자"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","위험성평가 실시여부","□ 예 □ 아니오"
"TBM 기록","오늘 개선·이력 반영 - 확인 기록","작업날짜와 TBM 일시 동일 여부","□ 예 □ 아니오"
"TBM 기록","작업내용","1","외벽 도장 작업"
"TBM 기록","작업내용","- TBM 기록조건","오후 강풍 예보, 작업중지 기준 공유 필요"
"TBM 기록","잠재위험요인 / 중점위험요인","1","이동식 비계 승·하강 및 작업발판 이동 중 추락"
"TBM 기록","잠재위험요인 / 중점위험요인","2","강풍 시 비계 전도와 공구·자재 낙하"
"TBM 기록","잠재위험요인 / 중점위험요인","3","지게차 동선 인접 구간에서 작업자 충돌"
"TBM 기록","대책 / 작업중지 기준","1","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검"
"TBM 기록","대책 / 작업중지 기준","2","풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기"
"TBM 기록","대책 / 작업중지 기준","3","작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"TBM 기록","대책 / 작업중지 기준","- 작업중지 기준","강풍 시 작업중지 판단은 누가 하고, 팀원에게 어떻게 전파할 것인가?"
"TBM 기록","대책 / 작업중지 기준","4","기상 API 또는 현장 기상 확인 결과가 악화되면 작업반장·관리감독자가 작업 가능 여부를 재판단"
"TBM 기록","근로자 확인 사항","- 보호구 착용","□ 안전모 □ 안전화 □ 턱끈 □ 작업별 보호구"
"TBM 기록","근로자 확인 사항","- 건강상태","□ 이상 없음 □ 확인 필요"
"TBM 기록","근로자 확인 사항","- 음주·피로 여부","□ 이상 없음 □ 확인 필요"
"TBM 기록","참석자 확인","TBM 내용 숙지 여부","전원 구두 복창 및 서명 예정"
"TBM 기록","참석자 확인","보호구 착용 상태","상호 점검"
"TBM 기록","참석자 확인","위험구역 표시 및 통제","확인"
"TBM 기록","참석자 확인","신규·외국인·미숙련 작업자","쉬운 한국어/통역/번역 메시지로 이해 여부 별도 확인"
"TBM 기록","사진·영상 기록 메모","1","작업 전 현장 상태, 보호구 착용, 위험구역 통제, TBM 실시 사진을 기록합니다."
"TBM 기록","사진·영상 기록 메모","2","사진/영상 파일명, 모바일 앱 기록 ID, 작업일지 보관 위치를 남깁니다."
"TBM 기록","교육시간 인정 검토","1","위험성평가 결과를 반영하고 교육 대상·내용·시간·서명·사진/모바일 기록이 남는 경우에만 증빙 활용 가능 여부를 검토합니다."
"TBM 기록","교육시간 인정 검토","2","본 기록은 법정 제출 서식을 자동 대체하지 않는 현장 보조 초안입니다."
"TBM 기록","미조치 위험요인 / 후속조치","1","강풍 시 작업중지 판단은 누가 하고, 팀원에게 어떻게 전파할 것인가?"
"TBM 기록","미조치 위험요인 / 후속조치","2","이동식 비계 고정상태와 보호구 착용은 누가 상호 확인했는가?"
"안전보건교육 기록","기본정보","1","안전보건교육 기록(초안)"
"안전보건교육 기록","기본정보","공식자료 기반","산업안전보건교육 가이드북 및 TBM 교육시간 인정 안내 참고"
"안전보건교육 기록","기본정보","교육명","외벽 도장 작업 전 위험요인 및 보호구 착용 교육"
"안전보건교육 기록","기본정보","교육구분","당일 작업 전 안전보건교육 및 TBM 연계 기록"
"안전보건교육 기록","기본정보","교육일시","작업 시작 전 15분"
"안전보건교육 기록","기본정보","교육장소","서울 성수동 근린생활시설 현장"
"안전보건교육 기록","기본정보","교육대상","외벽 도장 작업자, 신호수, 신규 투입자, 총 5명"
"안전보건교육 기록","기본정보","교육 실시자","현장소장 / 관리감독자"
"안전보건교육 기록","기본정보","확인자","작업반장 / 작업자 대표"
"안전보건교육 기록","교육대상","1","외벽 도장 작업자, 신호수, 신규 투입자, 총 5명"
"안전보건교육 기록","교육대상","2","신규 투입자, 외국인 근로자, 작업변경자는 이해 여부를 별도 확인합니다."
"안전보건교육 기록","교육내용","- 오늘 작업 개요","세이프건설 서울 성수동 근린생활시설 외벽 도장 작업"
"안전보건교육 기록","교육내용","- 교육 전 조건확인","오후 강풍 예보, 작업중지 기준 공유 필요"
"안전보건교육 기록","교육내용","- 핵심 위험요인","이동식 비계 승·하강 및 작업발판 이동 중 추락, 강풍 시 비계 전도와 공구·자재 낙하, 지게차 동선 인접 구간에서 작업자 충돌"
"안전보건교육 기록","교육내용","- 즉시 조치","작업 전 비계 고정핀, 바퀴 잠금, 작업발판 상태 점검, 풍속 상승 또는 돌풍 체감 시 즉시 작업중지 후 지상 대기, 작업반장 주도로 보호구 착용과 작업구간 출입통제를 확인"
"안전보건교육 기록","보호구 및 작업방법 강조사항","1","강풍 체감 또는 비계 흔들림 발생 시 즉시 작업중지 후 지상 대기"
"안전보건교육 기록","보호구 및 작업방법 강조사항","2","이동식 비계 작업 전 바퀴 잠금, 발판 고정, 안전난간 상태를 상호 확인"
"안전보건교육 기록","보호구 및 작업방법 강조사항","3","지게차 접근 시 신호수 지시에 따라 이동하고 작업반경 내 무단 진입 금지"
"안전보건교육 기록","확인방법","1","신규 투입자 포함 전원이 작업중지 기준을 구두 복창"
"안전보건교육 기록","확인방법","2","보호구 착용 상태를 상호 점검 후 서명 예정"
"안전보건교육 기록","확인방법","3","작업일지, 모바일 앱, 사진, 영상 등 현장 기록 수단에 교육 실시 사실을 남김"
"안전보건교육 기록","TBM 기록 연계","1","위험성평가 결과를 반영한 TBM 기록은 정기교육 증빙으로 활용 가능 여부를 검토합니다."
"안전보건교육 기록","TBM 기록 연계","2","본 기록은 법정 제출 서식을 대체하는 문서가 아니라 현장 기록 보조용 초안입니다."
"안전보건교육 기록","후속 교육 추천","1","고용24 사업주훈련 또는 외국인 근로자 관련 교육은 현장 대상과 교육명이 맞는 경우에만 후속 후보로 연결합니다."
"비상대응 절차","기본정보","1","비상대응 절차(초안)"
"비상대응 절차","기본정보","2","중대재해·산업재해 발생 대비 현장 초기대응 기록"
"비상대응 절차","기본정보","업체명","세이프건설"
"비상대응 절차","기본정보","현장명","서울 성수동 근린생활시설 현장"
"비상대응 절차","기본정보","작업명","외벽 도장 작업"
"비상대응 절차","기본정보","비상대응 조건","오후 강풍 예보, 작업중지 기준 공유 필요"
"비상대응 절차","기본정보","특수 대상/조건","신규 투입자 1명 포함 — 작업중지 기준과 보호구 착용을 별도 복창 확인 / 강풍 조건 — 작업중지 기준과 대피 위치를 작업 전 공유"
"비상대응 절차","기본정보","적용대상","현장소장, 관리감독자, 작업반장, 작업자, 협력업체"
"비상대응 절차","1. 사고 징후 및 즉시 중지","- 핵심 위험","강풍 상황에서 이동식 비계가 흔들리며 작업자가 추락하거나 비계가 전도될 위험"
"비상대응 절차","1. 사고 징후 및 즉시 중지","1","사고 징후, 아차사고, 위험 발견 시 작업자는 즉시 작업을 중지하고 작업반장에게 보고합니다."
"비상대응 절차","1. 사고 징후 및 즉시 중지","2","추가 피해 가능성이 있으면 위험구역 접근을 통제하고 전원을 안전한 장소로 이동시킵니다."
"비상대응 절차","2. 초기조치","1","부상자 구조와 응급조치를 우선하되, 구조자 2차 사고 위험을 먼저 확인합니다."
"비상대응 절차","2. 초기조치","2","전기, 화기, 장비, 차량 등 추가 위험원을 정지 또는 격리합니다."
"비상대응 절차","2. 초기조치","3","필요한 경우 119, 원청/발주자, 안전관리자에게 즉시 연락합니다."
